user_id,housing_id,status
783,138,pending
362,213,pending
332,53,pending
728,450,pending
709,581,pending
729,220,pending
363,831,pending
494,474,pending
440,90,pending
553,966,pending
338,425,pending
572,773,pending
708,351,pending
270,987,pending
260,221,pending
738,508,pending
456,992,pending
169,139,pending
473,169,pending
627,118,pending
721,7,pending
623,637,pending
348,582,pending
576,454,pending
443,151,pending
957,630,pending
377,767,pending
105,512,pending
419,93,pending
979,918,pending
226,70,pending
992,87,pending
957,110,pending
302,386,pending
766,287,pending
306,731,pending
543,319,pending
366,871,pending
393,420,pending
706,255,pending
597,156,pending
299,887,pending
276,101,pending
467,47,pending
527,844,pending
390,5,pending
761,205,pending
967,756,pending
850,351,pending
824,510,pending
921,604,pending
126,42,pending
740,241,pending
559,895,pending
425,915,pending
626,423,pending
653,449,pending
239,431,pending
304,542,pending
488,654,pending
22,574,pending
320,971,pending
914,852,pending
708,470,pending
526,487,pending
222,267,pending
783,572,pending
199,217,pending
493,371,pending
480,605,pending
939,644,pending
846,238,pending
998,114,pending
307,814,pending
58,311,pending
690,718,pending
564,726,pending
207,687,pending
168,857,pending
89,750,pending
990,563,pending
743,309,pending
335,644,pending
208,232,pending
924,278,pending
465,982,pending
744,627,pending
319,792,pending
75,595,pending
592,79,pending
964,984,pending
538,904,pending
729,256,pending
139,120,pending
500,46,pending
30,190,pending
134,138,pending
863,993,pending
786,505,pending
760,88,pending
399,868,pending
545,741,pending
334,29,pending
80,107,pending
654,77,pending
967,314,pending
632,998,pending
160,316,pending
565,542,pending
443,297,pending
327,731,pending
7,933,pending
350,475,pending
406,7,pending
955,926,pending
257,363,pending
795,786,pending
468,765,pending
241,553,pending
210,824,pending
601,326,pending
164,590,pending
145,960,pending
717,912,pending
849,496,pending
335,481,pending
75,630,pending
275,456,pending
766,527,pending
379,319,pending
573,729,pending
654,146,pending
731,777,pending
644,296,pending
46,826,pending
338,563,pending
248,766,pending
481,327,pending
696,817,pending
290,826,pending
793,332,pending
754,141,pending
583,178,pending
850,532,pending
163,822,pending
767,464,pending
275,705,pending
57,282,pending
734,486,pending
227,924,pending
776,213,pending
860,835,pending
195,868,pending
436,185,pending
291,639,pending
505,601,pending
51,36,pending
542,938,pending
827,255,pending
37,597,pending
588,953,pending
221,354,pending
952,696,pending
416,730,pending
939,831,pending
989,141,pending
604,483,pending
461,996,pending
808,763,pending
951,293,pending
152,79,pending
204,26,pending
911,144,pending
747,916,pending
533,390,pending
648,635,pending
305,205,pending
477,634,pending
78,918,pending
670,254,pending
208,425,pending
763,504,pending
891,905,pending
57,976,pending
10,11,pending
285,369,pending
908,296,pending
56,227,pending
720,504,pending
737,883,pending
541,539,pending
491,238,pending
129,905,pending
954,986,pending
819,155,pending
989,96,pending
600,129,pending
156,34,pending
925,736,pending
658,750,pending
997,245,pending
45,286,pending
394,871,pending
380,471,pending
992,477,pending
173,593,pending
953,823,pending
437,53,pending
26,925,pending
449,621,pending
346,507,pending
295,870,pending
289,839,pending
981,461,pending
287,511,pending
508,66,pending
490,308,pending
332,946,pending
123,83,pending
710,343,pending
974,405,pending
658,11,pending
187,739,pending
932,33,pending
316,974,pending
606,198,pending
653,218,pending
749,850,pending
749,452,pending
108,539,pending
267,103,pending
419,901,pending
965,659,pending
861,540,pending
826,724,pending
223,398,pending
884,380,pending
593,156,pending
850,264,pending
66,133,pending
126,146,pending
86,658,pending
249,233,pending
333,570,pending
713,219,pending
399,776,pending
52,492,pending
399,522,pending
455,373,pending
180,436,pending
766,558,pending
747,127,pending
751,331,pending
49,524,pending
651,29,pending
438,223,pending
439,285,pending
284,118,pending
24,786,pending
313,772,pending
762,846,pending
62,563,pending
53,388,pending
870,515,pending
312,518,pending
713,823,pending
172,477,pending
446,504,pending
777,214,pending
148,217,pending
825,25,pending
844,430,pending
920,441,pending
867,849,pending
164,127,pending
903,834,pending
377,306,pending
999,187,pending
410,385,pending
20,626,pending
216,194,pending
453,426,pending
487,388,pending
735,883,pending
409,256,pending
510,853,pending
877,511,pending
331,859,pending
287,42,pending
336,731,pending
136,436,pending
627,960,pending
562,674,pending
549,304,pending
502,474,pending
432,187,pending
385,759,pending
381,604,pending
812,500,pending
226,412,pending
649,494,pending
43,143,pending
327,778,pending
225,918,pending
836,773,pending
3,477,pending
754,759,pending
421,759,pending
194,200,pending
754,780,pending
82,8,pending
466,547,pending
615,849,pending
89,894,pending
133,647,pending
39,37,pending
941,662,pending
348,96,pending
153,941,pending
897,700,pending
741,701,pending
425,781,pending
143,172,pending
312,890,pending
674,203,pending
496,310,pending
943,732,pending
607,62,pending
440,854,pending
761,841,pending
885,270,pending
450,359,pending
500,1,pending
802,706,pending
942,872,pending
962,13,pending
916,635,pending
137,761,pending
206,132,pending
685,373,pending
485,908,pending
197,835,pending
13,812,pending
516,483,pending
281,962,pending
756,387,pending
241,348,pending
669,202,pending
708,2,pending
710,831,pending
774,330,pending
9,130,pending
451,510,pending
368,381,pending
40,592,pending
76,857,pending
296,621,pending
990,275,pending
197,580,pending
251,678,pending
995,295,pending
57,410,pending
405,405,pending
843,761,pending
343,468,pending
711,196,pending
17,21,pending
218,884,pending
788,911,pending
588,481,pending
894,573,pending
235,411,pending
771,654,pending
202,435,pending
849,68,pending
708,416,pending
828,574,pending
635,102,pending
806,610,pending
189,660,pending
47,986,pending
544,536,pending
770,445,pending
483,835,pending
762,284,pending
981,275,pending
916,914,pending
669,991,pending
459,772,pending
781,724,pending
118,98,pending
105,517,pending
573,932,pending
187,901,pending
738,692,pending
334,818,pending
347,288,pending
941,878,pending
362,484,pending
255,613,pending
497,91,pending
516,452,pending
879,385,pending
881,999,pending
126,846,pending
214,784,pending
393,4,pending
574,239,pending
852,367,pending
266,203,pending
206,204,pending
980,845,pending
235,133,pending
868,825,pending
329,116,pending
544,187,pending
524,1,pending
770,95,pending
496,925,pending
291,161,pending
604,770,pending
777,679,pending
614,794,pending
689,35,pending
984,294,pending
850,927,pending
580,407,pending
358,501,pending
20,618,pending
884,292,pending
103,616,pending
457,448,pending
971,125,pending
329,345,pending
698,406,pending
195,381,pending
991,140,pending
138,839,pending
16,805,pending
364,276,pending
988,981,pending
74,91,pending
244,731,pending
813,760,pending
68,34,pending
193,678,pending
341,514,pending
855,494,pending
693,190,pending
676,221,pending
298,711,pending
169,31,pending
932,48,pending
370,593,pending
180,800,pending
960,267,pending
558,705,pending
27,342,pending
374,659,pending
269,47,pending
178,937,pending
680,685,pending
666,551,pending
47,370,pending
14,372,pending
313,404,pending
772,183,pending
688,872,pending
664,801,pending
948,613,pending
933,110,pending
423,877,pending
430,307,pending
371,219,pending
427,989,pending
971,124,pending
189,929,pending
753,411,pending
176,239,pending
367,806,pending
254,698,pending
130,163,pending
690,354,pending
102,346,pending
461,559,pending
623,416,pending
619,702,pending
627,812,pending
939,909,pending
685,241,pending
630,17,pending
380,256,pending
124,564,pending
581,955,pending
514,877,pending
545,345,pending
511,745,pending
801,912,pending
173,178,pending
860,437,pending
51,151,pending
277,525,pending
463,493,pending
714,432,pending
259,952,pending
189,202,pending
985,966,pending
928,700,pending
697,790,pending
94,368,pending
854,790,pending
843,967,pending
802,625,pending
325,738,pending
251,74,pending
656,125,pending
374,381,pending
522,200,pending
258,44,pending
101,416,pending
310,539,pending
39,60,pending
969,124,pending
571,62,pending
132,158,pending
867,486,pending
70,156,pending
660,160,pending
542,367,pending
943,266,pending
686,879,pending
514,306,pending
554,451,pending
90,472,pending
967,96,pending
407,926,pending
732,214,pending
926,231,pending
234,930,pending
178,529,pending
519,640,pending
551,933,pending
141,74,pending
740,663,pending
812,133,pending
852,389,pending
890,845,pending
664,710,pending
99,150,pending
997,905,pending
314,382,pending
661,376,pending
42,927,pending
240,656,pending
8,271,pending
619,434,pending
198,749,pending
368,920,pending
860,728,pending
549,349,pending
252,335,pending
528,264,pending
115,565,pending
530,55,pending
171,428,pending
794,925,pending
729,541,pending
83,934,pending
131,971,pending
252,909,pending
421,219,pending
691,131,pending
951,667,pending
363,247,pending
385,9,pending
463,454,pending
799,593,pending
762,770,pending
13,93,pending
752,429,pending
373,446,pending
66,195,pending
28,225,pending
459,504,pending
742,289,pending
512,553,pending
847,554,pending
712,759,pending
339,972,pending
374,981,pending
889,309,pending
916,774,pending
62,234,pending
24,617,pending
321,250,pending
685,872,pending
443,270,pending
439,130,pending
650,55,pending
702,83,pending
608,533,pending
730,982,pending
271,438,pending
747,229,pending
699,453,pending
368,7,pending
518,84,pending
200,286,pending
95,27,pending
116,970,pending
188,426,pending
974,364,pending
169,487,pending
218,524,pending
647,55,pending
429,142,pending
238,968,pending
178,547,pending
776,57,pending
879,112,pending
88,232,pending
399,605,pending
803,78,pending
840,72,pending
398,265,pending
413,664,pending
840,51,pending
55,861,pending
938,389,pending
942,93,pending
269,471,pending
645,571,pending
270,389,pending
4,373,pending
817,576,pending
873,400,pending
428,98,pending
776,250,pending
175,298,pending
403,110,pending
900,503,pending
552,895,pending
428,392,pending
651,129,pending
835,995,pending
742,42,pending
201,140,pending
505,179,pending
285,847,pending
248,20,pending
885,165,pending
841,439,pending
909,472,pending
914,315,pending
251,604,pending
836,622,pending
81,871,pending
134,966,pending
775,113,pending
178,330,pending
481,248,pending
838,49,pending
701,723,pending
56,886,pending
235,947,pending
823,362,pending
855,604,pending
712,714,pending
345,543,pending
395,326,pending
109,54,pending
878,563,pending
623,999,pending
342,73,pending
575,311,pending
833,633,pending
71,721,pending
133,955,pending
752,622,pending
53,597,pending
633,302,pending
586,272,pending
258,936,pending
222,207,pending
669,19,pending
510,768,pending
505,350,pending
473,467,pending
550,203,pending
384,390,pending
217,713,pending
896,117,pending
46,289,pending
607,517,pending
556,813,pending
370,761,pending
27,340,pending
404,916,pending
346,776,pending
620,924,pending
724,869,pending
343,135,pending
199,551,pending
225,406,pending
256,161,pending
442,972,pending
236,287,pending
693,933,pending
379,20,pending
202,940,pending
42,797,pending
407,444,pending
238,942,pending
9,785,pending
431,596,pending
859,347,pending
829,893,pending
123,650,pending
409,413,pending
72,114,pending
282,576,pending
341,413,pending
302,540,pending
235,156,pending
934,180,pending
224,600,pending
760,325,pending
266,945,pending
347,545,pending
27,2,pending
924,545,pending
132,112,pending
849,408,pending
985,184,pending
569,86,pending
258,232,pending
210,555,pending
210,302,pending
188,895,pending
444,726,pending
141,315,pending
901,407,pending
10,350,pending
886,800,pending
109,126,pending
83,967,pending
461,2,pending
382,466,pending
322,990,pending
304,215,pending
786,56,pending
436,53,pending
259,412,pending
418,236,pending
771,784,pending
259,765,pending
244,184,pending
648,461,pending
462,235,pending
651,451,pending
53,808,pending
482,926,pending
662,735,pending
115,898,pending
912,526,pending
337,33,pending
841,840,pending
606,953,pending
288,981,pending
183,659,pending
566,594,pending
996,888,pending
726,474,pending
419,344,pending
732,46,pending
982,408,pending
24,295,pending
285,586,pending
473,2,pending
65,790,pending
595,462,pending
872,922,pending
528,942,pending
366,111,pending
501,231,pending
705,37,pending
615,643,pending
716,70,pending
854,357,pending
979,684,pending
707,409,pending
226,22,pending
950,776,pending
268,979,pending
228,929,pending
995,974,pending
728,819,pending
468,5,pending
207,647,pending
368,233,pending
437,722,pending
432,129,pending
694,928,pending
759,993,pending
90,992,pending
267,89,pending
915,989,pending
808,483,pending
398,751,pending
535,418,pending
499,168,pending
377,552,pending
661,193,pending
28,405,pending
969,288,pending
592,793,pending
466,649,pending
489,549,pending
23,302,pending
304,551,pending
316,837,pending
520,380,pending
872,97,pending
745,326,pending
677,425,pending
378,469,pending
287,838,pending
440,998,pending
69,461,pending
294,646,pending
21,690,pending
961,320,pending
308,368,pending
191,197,pending
10,532,pending
987,187,pending
595,452,pending
850,637,pending
700,507,pending
